ric,company_name,name_bhrc,company_id,url_bhrc,category,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ANA.MC,Acciona SA,Acciona Group,937105,https://www.business-humanrights.org/en/companies/acciona-group/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA.MC,Acciona SA,Acciona Group,937105,https://www.business-humanrights.org/en/companies/acciona-group/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDR.VI,Andritz AG,Andritz,755704,https://www.business-humanrights.org/en/companies/andritz/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDR.VI,Andritz AG,Andritz,755704,https://www.business-humanrights.org/en/companies/andritz/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDR.VI,Andritz AG,Andritz,755704,https://www.business-humanrights.org/en/companies/andritz/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARDS.AS,Arcadis NV,Arcadis,760189,https://www.business-humanrights.org/en/companies/arcadis/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDS.AS,Arcadis NV,Arcadis,760189,https://www.business-humanrights.org/en/companies/arcadis/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARDS.AS,Arcadis NV,Arcadis,760189,https://www.business-humanrights.org/en/companies/arcadis/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASMI.AS,ASM International NV,ASM International,761145,https://www.business-humanrights.org/en/companies/asm-international/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASMI.AS,ASM International NV,ASM International,761145,https://www.business-humanrights.org/en/companies/asm-international/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASMI.AS,ASM International NV,ASM International,761145,https://www.business-humanrights.org/en/companies/asm-international/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASML.AS,ASML Holding NV,ASML Holdings,761903,https://www.business-humanrights.org/en/companies/asml-holdings/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASML.AS,ASML Holding NV,ASML Holdings,761903,https://www.business-humanrights.org/en/companies/asml-holdings/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASML.AS,ASML Holding NV,ASML Holdings,761903,https://www.business-humanrights.org/en/companies/asml-holdings/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
