ric,company_name,name_bhrc,url_bhrc,company_id
MNDI.L,Mondi PLC,Mondi plc,https://www.business-humanrights.org/en/companies/mondi-plc/,905580
MONC.MI,Moncler SpA,Moncler,https://www.business-humanrights.org/en/companies/moncler-spa/,765489
MOWI.OL,Mowi ASA,Mowi ASA,https://www.business-humanrights.org/en/companies/mowi-asa/,758362
MRCG.DE,Merck KGaA,Merck KGaA,https://www.business-humanrights.org/en/companies/merck-kgaa/,900327
MRON.L,Melrose Industries PLC,Melrose Industries PLC,https://www.business-humanrights.org/en/companies/melrose-industries-plc/,907324
MT.AS,ArcelorMittal SA,ArcelorMittal,https://www.business-humanrights.org/en/companies/arcelormittal/,755749
MTXGn.DE,MTU Aero Engines AG,MTU Aero Engines,https://www.business-humanrights.org/en/companies/mtu-aero-engines/,763602
MUVGn.DE,Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,Münchener Rückversicherungs-Gesellschaft AG (Munich Re),https://www.business-humanrights.org/en/companies/munchener-ruckversicherungs-gesellschaft-ag-munich-re/,906277
NAFG.DE,Aurubis AG,Aurubis,https://www.business-humanrights.org/en/companies/aurubis/,761910
NDAFI.HE,Nordea Bank Abp,Nordea Bank,https://www.business-humanrights.org/en/companies/nordea-bank/,758538
NESN.S,Nestle SA,Nestlé,https://www.business-humanrights.org/en/companies/nestlé/,758446
NESTE.HE,Neste Oyj,Neste Oil,https://www.business-humanrights.org/en/companies/neste-oil/,758626
NEXS.PA,Nexans SA,Nexans,https://www.business-humanrights.org/en/companies/nexans/,896484
NG.L,National Grid PLC,National Grid,https://www.business-humanrights.org/en/companies/national-grid/,758556
NHY.OL,Norsk Hydro ASA,Norsk Hydro (Hydro),https://www.business-humanrights.org/en/companies/norsk-hydro-hydro/,758448
NN.AS,NN Group NV,NN Group,https://www.business-humanrights.org/en/companies/nn-group/,923438
NOKIA.HE,Nokia Oyj,Nokia,https://www.business-humanrights.org/en/companies/nokia/,758447
NOVN.S,Novartis AG,Novartis,https://www.business-humanrights.org/en/companies/novartis/,758449
NOVOb.CO,Novo Nordisk A/S,Novo Nordisk (part of Novo Group),https://www.business-humanrights.org/en/companies/novo-nordisk-part-of-novo-group/,758480
NSISb.CO,Novozymes A/S,Novozymes,https://www.business-humanrights.org/en/companies/novozymes/,758518
